
 iter= 32 ;  day= 9 ;  method= PCA_perm 

 iter= 36 ;  day= 9 ;  method= PCA_perm 

 iter= 33 ;  day= 9 ;  method= PCA_perm 

 iter= 28 ;  day= 9 ;  method= PCA_perm 

 iter= 35 ;  day= 9 ;  method= PCA_perm 

 iter= 30 ;  day= 10 ;  method= PCA_perm 

 iter= 31 ;  day= 10 ;  method= PCA_perm 

 iter= 34 ;  day= 10 ;  method= PCA_perm 

 iter= 32 ;  day= 10 ;  method= PCA_perm 

 iter= 29 ;  day= 10 ;  method= PCA_perm 

 iter= 33 ;  day= 10 ;  method= PCA_perm 

 iter= 36 ;  day= 10 ;  method= PCA_perm 

 iter= 28 ;  day= 10 ;  method= PCA_perm 

 iter= 35 ;  day= 10 ;  method= PCA_perm 

 iter= 40 ;  day= 2 ;  method= PCA_perm 

 iter= 39 ;  day= 2 ;  method= PCA_perm 

 iter= 43 ;  day= 2 ;  method= PCA_perm 

 iter= 41 ;  day= 2 ;  method= PCA_perm 

 iter= 38 ;  day= 2 ;  method= PCA_perm 

 iter= 45 ;  day= 2 ;  method= PCA_perm 

 iter= 42 ;  day= 2 ;  method= PCA_perm 

 iter= 37 ;  day= 2 ;  method= PCA_perm 

 iter= 44 ;  day= 2 ;  method= PCA_perm 

 iter= 39 ;  day= 3 ;  method= PCA_perm 

 iter= 40 ;  day= 3 ;  method= PCA_perm 

 iter= 43 ;  day= 3 ;  method= PCA_perm 

 iter= 41 ;  day= 3 ;  method= PCA_perm 

 iter= 45 ;  day= 3 ;  method= PCA_perm 

 iter= 38 ;  day= 3 ;  method= PCA_perm 

 iter= 42 ;  day= 3 ;  method= PCA_perm 

 iter= 37 ;  day= 3 ;  method= PCA_perm 

 iter= 44 ;  day= 3 ;  method= PCA_perm 

 iter= 39 ;  day= 4 ;  method= PCA_perm 

 iter= 40 ;  day= 4 ;  method= PCA_perm 

 iter= 43 ;  day= 4 ;  method= PCA_perm 

 iter= 41 ;  day= 4 ;  method= PCA_perm 

 iter= 38 ;  day= 4 ;  method= PCA_perm 

 iter= 45 ;  day= 4 ;  method= PCA_perm 

 iter= 42 ;  day= 4 ;  method= PCA_perm 

 iter= 37 ;  day= 4 ;  method= PCA_perm 

 iter= 44 ;  day= 4 ;  method= PCA_perm 

 iter= 39 ;  day= 5 ;  method= PCA_perm 

 iter= 40 ;  day= 5 ;  method= PCA_perm 

 iter= 43 ;  day= 5 ;  method= PCA_perm 

 iter= 41 ;  day= 5 ;  method= PCA_perm 

 iter= 45 ;  day= 5 ;  method= PCA_perm 

 iter= 38 ;  day= 5 ;  method= PCA_perm 

 iter= 42 ;  day= 5 ;  method= PCA_perm 

 iter= 37 ;  day= 5 ;  method= PCA_perm 

 iter= 44 ;  day= 5 ;  method= PCA_perm 

 iter= 39 ;  day= 6 ;  method= PCA_perm 

 iter= 40 ;  day= 6 ;  method= PCA_perm 

 iter= 43 ;  day= 6 ;  method= PCA_perm 

 iter= 41 ;  day= 6 ;  method= PCA_perm 

 iter= 38 ;  day= 6 ;  method= PCA_perm 

 iter= 45 ;  day= 6 ;  method= PCA_perm 

 iter= 42 ;  day= 6 ;  method= PCA_perm 

 iter= 37 ;  day= 6 ;  method= PCA_perm 

 iter= 44 ;  day= 6 ;  method= PCA_perm 

 iter= 39 ;  day= 7 ;  method= PCA_perm 

 iter= 40 ;  day= 7 ;  method= PCA_perm 

 iter= 43 ;  day= 7 ;  method= PCA_perm 

 iter= 41 ;  day= 7 ;  method= PCA_perm 

 iter= 38 ;  day= 7 ;  method= PCA_perm 

 iter= 45 ;  day= 7 ;  method= PCA_perm 

 iter= 42 ;  day= 7 ;  method= PCA_perm 

 iter= 37 ;  day= 7 ;  method= PCA_perm 

 iter= 44 ;  day= 7 ;  method= PCA_perm 

 iter= 39 ;  day= 8 ;  method= PCA_perm 

 iter= 40 ;  day= 8 ;  method= PCA_perm 

 iter= 43 ;  day= 8 ;  method= PCA_perm 

 iter= 41 ;  day= 8 ;  method= PCA_perm 

 iter= 38 ;  day= 8 ;  method= PCA_perm 

 iter= 45 ;  day= 8 ;  method= PCA_perm 

 iter= 37 ;  day= 8 ;  method= PCA_perm 

 iter= 42 ;  day= 8 ;  method= PCA_perm 

 iter= 44 ;  day= 8 ;  method= PCA_perm 

 iter= 39 ;  day= 9 ;  method= PCA_perm 

 iter= 40 ;  day= 9 ;  method= PCA_perm 

 iter= 43 ;  day= 9 ;  method= PCA_perm 

 iter= 38 ;  day= 9 ;  method= PCA_perm 

 iter= 41 ;  day= 9 ;  method= PCA_perm 

 iter= 37 ;  day= 9 ;  method= PCA_perm 

 iter= 45 ;  day= 9 ;  method= PCA_perm 

 iter= 42 ;  day= 9 ;  method= PCA_perm 

 iter= 44 ;  day= 9 ;  method= PCA_perm 

 iter= 39 ;  day= 10 ;  method= PCA_perm 

 iter= 40 ;  day= 10 ;  method= PCA_perm 

 iter= 43 ;  day= 10 ;  method= PCA_perm 

 iter= 38 ;  day= 10 ;  method= PCA_perm 

