
 iter= 1 ;  day= 2 ;  method= PCA 
 iter= 23 ;  day= 3 ;  method= bPLS 

 iter= 27 ;  day= 3 ;  method= bPLS 

 iter= 22 ;  day= 3 ;  method= bPLS 

 iter= 19 ;  day= 3 ;  method= bPLS 

 iter= 20 ;  day= 3 ;  method= bPLS 

 iter= 26 ;  day= 3 ;  method= bPLS 

 iter= 24 ;  day= 3 ;  method= bPLS 

 iter= 25 ;  day= 3 ;  method= bPLS 

 iter= 21 ;  day= 4 ;  method= PCA 

 iter= 23 ;  day= 4 ;  method= PCA 

 iter= 27 ;  day= 4 ;  method= PCA 

 iter= 22 ;  day= 4 ;  method= PCA 

 iter= 19 ;  day= 4 ;  method= PCA 

 iter= 20 ;  day= 4 ;  method= PCA 

 iter= 26 ;  day= 4 ;  method= PCA 

 iter= 24 ;  day= 4 ;  method= PCA 

 iter= 25 ;  day= 4 ;  method= PCA 

 iter= 21 ;  day= 4 ;  method= bPLS 

 iter= 23 ;  day= 4 ;  method= bPLS 

 iter= 27 ;  day= 4 ;  method= bPLS 

 iter= 22 ;  day= 4 ;  method= bPLS 

 iter= 19 ;  day= 4 ;  method= bPLS 

 iter= 20 ;  day= 4 ;  method= bPLS 

 iter= 24 ;  day= 4 ;  method= bPLS 

 iter= 26 ;  day= 4 ;  method= bPLS 

 iter= 25 ;  day= 4 ;  method= bPLS 

 iter= 21 ;  day= 5 ;  method= PCA 

 iter= 23 ;  day= 5 ;  method= PCA 

 iter= 27 ;  day= 5 ;  method= PCA 

 iter= 22 ;  day= 5 ;  method= PCA 

 iter= 19 ;  day= 5 ;  method= PCA 

 iter= 20 ;  day= 5 ;  method= PCA 

 iter= 26 ;  day= 5 ;  method= PCA 

 iter= 24 ;  day= 5 ;  method= PCA 

 iter= 25 ;  day= 5 ;  method= PCA 

 iter= 21 ;  day= 5 ;  method= bPLS 

 iter= 23 ;  day= 5 ;  method= bPLS 

 iter= 27 ;  day= 5 ;  method= bPLS 

 iter= 22 ;  day= 5 ;  method= bPLS 

 iter= 19 ;  day= 5 ;  method= bPLS 

 iter= 20 ;  day= 5 ;  method= bPLS 

 iter= 24 ;  day= 5 ;  method= bPLS 

 iter= 26 ;  day= 5 ;  method= bPLS 

 iter= 30 ;  day= 2 ;  method= PCA 

 iter= 25 ;  day= 5 ;  method= bPLS 

 iter= 32 ;  day= 2 ;  method= PCA 

 iter= 36 ;  day= 2 ;  method= PCA 

 iter= 31 ;  day= 2 ;  method= PCA 

 iter= 28 ;  day= 2 ;  method= PCA 

 iter= 29 ;  day= 2 ;  method= PCA 

 iter= 33 ;  day= 2 ;  method= PCA 

 iter= 35 ;  day= 2 ;  method= PCA 

 iter= 30 ;  day= 2 ;  method= bPLS 

 iter= 34 ;  day= 2 ;  method= PCA 

 iter= 32 ;  day= 2 ;  method= bPLS 

 iter= 36 ;  day= 2 ;  method= bPLS 

 iter= 28 ;  day= 2 ;  method= bPLS 

 iter= 31 ;  day= 2 ;  method= bPLS 

 iter= 29 ;  day= 2 ;  method= bPLS 

 iter= 33 ;  day= 2 ;  method= bPLS 

 iter= 35 ;  day= 2 ;  method= bPLS 

 iter= 30 ;  day= 3 ;  method= PCA 

 iter= 34 ;  day= 2 ;  method= bPLS 

 iter= 32 ;  day= 3 ;  method= PCA 

 iter= 36 ;  day= 3 ;  method= PCA 

 iter= 28 ;  day= 3 ;  method= PCA 

 iter= 29 ;  day= 3 ;  method= PCA 

 iter= 33 ;  day= 3 ;  method= PCA 

 iter= 31 ;  day= 3 ;  method= PCA 

 iter= 35 ;  day= 3 ;  method= PCA 

 iter= 30 ;  day= 3 ;  method= bPLS 

 iter= 34 ;  day= 3 ;  method= PCA 

 iter= 36 ;  day= 3 ;  method= bPLS 

 iter= 32 ;  day= 3 ;  method= bPLS 

 iter= 28 ;  day= 3 ;  method= bPLS 

 iter= 31 ;  day= 3 ;  method= bPLS 

 iter= 29 ;  day= 3 ;  method= bPLS 

 iter= 33 ;  day= 3 ;  method= bPLS 

 iter= 35 ;  day= 3 ;  method= bPLS 

 iter= 30 ;  day= 4 ;  method= PCA 

 iter= 34 ;  day= 3 ;  method= bPLS 

 iter= 36 ;  day= 4 ;  method= PCA 

 iter= 32 ;  day= 4 ;  method= PCA 

 iter= 28 ;  day= 4 ;  method= PCA 

 iter= 31 ;  day= 4 ;  method= PCA 

 iter= 29 ;  day= 4 ;  method= PCA 

 iter= 33 ;  day= 4 ;  method= PCA 

 iter= 35 ;  day= 4 ;  method= PCA 

 iter= 30 ;  day= 4 ;  method= bPLS 

 iter= 34 ;  day= 4 ;  method= PCA 

 iter= 36 ;  day= 4 ;  method= bPLS 

 iter= 32 ;  day= 4 ;  method= bPLS 

 iter= 28 ;  day= 4 ;  method= bPLS 

 iter= 31 ;  day= 4 ;  method= bPLS 

 iter= 33 ;  day= 4 ;  method= bPLS 

 iter= 29 ;  day= 4 ;  method= bPLS 

 iter= 35 ;  day= 4 ;  method= bPLS 

 iter= 30 ;  day= 5 ;  method= PCA 

 iter= 34 ;  day= 4 ;  method= bPLS 

 iter= 36 ;  day= 5 ;  method= PCA 

 iter= 32 ;  day= 5 ;  method= PCA 

 iter= 31 ;  day= 5 ;  method= PCA 

 iter= 28 ;  day= 5 ;  method= PCA 

 iter= 29 ;  day= 5 ;  method= PCA 

 iter= 33 ;  day= 5 ;  method= PCA 

 iter= 35 ;  day= 5 ;  method= PCA 

 iter= 30 ;  day= 5 ;  method= bPLS 

 iter= 34 ;  day= 5 ;  method= PCA 

 iter= 36 ;  day= 5 ;  method= bPLS 

 iter= 32 ;  day= 5 ;  method= bPLS 

 iter= 31 ;  day= 5 ;  method= bPLS 

 iter= 29 ;  day= 5 ;  method= bPLS 

 iter= 28 ;  day= 5 ;  method= bPLS 

 iter= 33 ;  day= 5 ;  method= bPLS 

 iter= 35 ;  day= 5 ;  method= bPLS 

 iter= 34 ;  day= 5 ;  method= bPLS 

 iter= 39 ;  day= 2 ;  method= PCA 

 iter= 45 ;  day= 2 ;  method= PCA 

 iter= 41 ;  day= 2 ;  method= PCA 

 iter= 40 ;  day= 2 ;  method= PCA 

 iter= 42 ;  day= 2 ;  method= PCA 

 iter= 38 ;  day= 2 ;  method= PCA 

 iter= 37 ;  day= 2 ;  method= PCA 

 iter= 43 ;  day= 2 ;  method= PCA 

 iter= 44 ;  day= 2 ;  method= PCA 

 iter= 39 ;  day= 2 ;  method= bPLS 

 iter= 45 ;  day= 2 ;  method= bPLS 

 iter= 41 ;  day= 2 ;  method= bPLS 

 iter= 40 ;  day= 2 ;  method= bPLS 

 iter= 42 ;  day= 2 ;  method= bPLS 

 iter= 38 ;  day= 2 ;  method= bPLS 

 iter= 37 ;  day= 2 ;  method= bPLS 

 iter= 43 ;  day= 2 ;  method= bPLS 

 iter= 39 ;  day= 3 ;  method= PCA 

 iter= 44 ;  day= 2 ;  method= bPLS 

 iter= 45 ;  day= 3 ;  method= PCA 

 iter= 41 ;  day= 3 ;  method= PCA 

 iter= 40 ;  day= 3 ;  method= PCA 

 iter= 42 ;  day= 3 ;  method= PCA 

 iter= 38 ;  day= 3 ;  method= PCA 

 iter= 37 ;  day= 3 ;  method= PCA 

 iter= 43 ;  day= 3 ;  method= PCA 

 iter= 39 ;  day= 3 ;  method= bPLS 

 iter= 44 ;  day= 3 ;  method= PCA 

 iter= 45 ;  day= 3 ;  method= bPLS 

 iter= 41 ;  day= 3 ;  method= bPLS 

 iter= 40 ;  day= 3 ;  method= bPLS 

 iter= 38 ;  day= 3 ;  method= bPLS 

 iter= 42 ;  day= 3 ;  method= bPLS 

 iter= 37 ;  day= 3 ;  method= bPLS 

 iter= 39 ;  day= 4 ;  method= PCA 

 iter= 43 ;  day= 3 ;  method= bPLS 

 iter= 44 ;  day= 3 ;  method= bPLS 

 iter= 45 ;  day= 4 ;  method= PCA 

 iter= 40 ;  day= 4 ;  method= PCA 

 iter= 41 ;  day= 4 ;  method= PCA 

 iter= 38 ;  day= 4 ;  method= PCA 

 iter= 37 ;  day= 4 ;  method= PCA 

 iter= 42 ;  day= 4 ;  method= PCA 

 iter= 39 ;  day= 4 ;  method= bPLS 

 iter= 43 ;  day= 4 ;  method= PCA 

 iter= 45 ;  day= 4 ;  method= bPLS 

 iter= 44 ;  day= 4 ;  method= PCA 

 iter= 40 ;  day= 4 ;  method= bPLS 

 iter= 38 ;  day= 4 ;  method= bPLS 

 iter= 41 ;  day= 4 ;  method= bPLS 

 iter= 37 ;  day= 4 ;  method= bPLS 

 iter= 42 ;  day= 4 ;  method= bPLS 

 iter= 39 ;  day= 5 ;  method= PCA 

 iter= 45 ;  day= 5 ;  method= PCA 

 iter= 43 ;  day= 4 ;  method= bPLS 

 iter= 40 ;  day= 5 ;  method= PCA 

 iter= 44 ;  day= 4 ;  method= bPLS 

 iter= 38 ;  day= 5 ;  method= PCA 

 iter= 41 ;  day= 5 ;  method= PCA 

 iter= 37 ;  day= 5 ;  method= PCA 

 iter= 42 ;  day= 5 ;  method= PCA 

 iter= 39 ;  day= 5 ;  method= bPLS 

 iter= 45 ;  day= 5 ;  method= bPLS 

 iter= 43 ;  day= 5 ;  method= PCA 

 iter= 40 ;  day= 5 ;  method= bPLS 

 iter= 44 ;  day= 5 ;  method= PCA 

 iter= 38 ;  day= 5 ;  method= bPLS 

