
 iter= 1 ;  day= 2 ;  method= PCA 
 iter= 7 ;  day= 10 ;  method= ICA 

 iter= 6 ;  day= 10 ;  method= ICA 

 iter= 4 ;  day= 10 ;  method= ICA 

 iter= 8 ;  day= 10 ;  method= ICA 

 iter= 2 ;  day= 10 ;  method= ICA 

 iter= 9 ;  day= 10 ;  method= ICA 

 iter= 3 ;  day= 10 ;  method= ICA 

 iter= 5 ;  day= 10 ;  method= ICA 

 iter= 15 ;  day= 2 ;  method= PCA 

 iter= 16 ;  day= 2 ;  method= PCA 

 iter= 13 ;  day= 2 ;  method= PCA 

 iter= 1 ;  day= 10 ;  method= ICA 

 iter= 17 ;  day= 2 ;  method= PCA 

 iter= 11 ;  day= 2 ;  method= PCA 

 iter= 18 ;  day= 2 ;  method= PCA 

 iter= 12 ;  day= 2 ;  method= PCA 

 iter= 14 ;  day= 2 ;  method= PCA 

 iter= 10 ;  day= 2 ;  method= PCA 

 iter= 15 ;  day= 2 ;  method= ICA 

 iter= 16 ;  day= 2 ;  method= ICA 

 iter= 13 ;  day= 2 ;  method= ICA 

 iter= 17 ;  day= 2 ;  method= ICA 

 iter= 11 ;  day= 2 ;  method= ICA 

 iter= 18 ;  day= 2 ;  method= ICA 

 iter= 12 ;  day= 2 ;  method= ICA 

 iter= 14 ;  day= 2 ;  method= ICA 

 iter= 10 ;  day= 2 ;  method= ICA 

 iter= 15 ;  day= 3 ;  method= PCA 

 iter= 16 ;  day= 3 ;  method= PCA 

 iter= 13 ;  day= 3 ;  method= PCA 

 iter= 17 ;  day= 3 ;  method= PCA 

 iter= 11 ;  day= 3 ;  method= PCA 

 iter= 18 ;  day= 3 ;  method= PCA 

 iter= 12 ;  day= 3 ;  method= PCA 

 iter= 14 ;  day= 3 ;  method= PCA 

 iter= 10 ;  day= 3 ;  method= PCA 

 iter= 15 ;  day= 3 ;  method= ICA 

 iter= 16 ;  day= 3 ;  method= ICA 

